,loc_info,LATITUDE,LONGITUDE
0,TE1 | WOODLANDS NORTH,1.4482924525962,103.785692682441
1,TE2 | WOODLANDS,1.43605761708128,103.787938777173
2,TE3 | WOODLANDS SOUTH,1.42739605281442,103.79326432221
3,NS1 | JURONG EAST,1.33315281585761,103.742286332403
4,NS2 | BUKIT BATOK,1.34903331201636,103.749566478309
5,NS3 | BUKIT GOMBAK,1.35861159094192,103.751790910733
6,NS4 | CHOA CHU KANG,1.38536316540225,103.744370779756
7,NS5 | YEW TEE,1.39753506936297,103.747405150236
8,NS7 | KRANJI,1.42508698073648,103.762137459497
9,NS8 | MARSILING,1.43252114855026,103.774074641403
10,NS9 | WOODLANDS,1.43681962961518,103.786066799253
11,NS10 | ADMIRALTY,1.44058852001081,103.800990500189
12,NS11 | SEMBAWANG,1.44905082158502,103.820046140211
13,NS12 | CANBERRA,1.44307664075698,103.829702590959
14,NS13 | YISHUN,1.42944308477331,103.835005047246
15,NS14 | KHATIB,1.41738337009565,103.832979908243
16,NS15 | YIO CHU KANG,1.38175587099131,103.84494727118
17,NS16 | ANG MO KIO,1.36993284962262,103.84955809232
18,NS17 | BISHAN,1.35083898784737,103.848143964542
19,NS18 | BRADDELL,1.3404690010277,103.846799083148
20,NS19 | TOA PAYOH,1.33262928096888,103.847502198048
21,NS20 | NOVENA,1.32044079120154,103.843825618748
22,NS21 | NEWTON,1.31231892240969,103.837984594021
23,NS22 | ORCHARD,1.3039799337073,103.832245305297
24,NS23 | SOMERSET,1.30026416739004,103.839085753124
25,NS24 | DHOBY GHAUT,1.29870132536119,103.846113677951
26,NS25 | CITY HALL,1.29293672227779,103.852585580366
27,NS26 | RAFFLES PLACE,1.28412561043657,103.851461712342
28,NS27 | MARINA BAY,1.276410298755,103.854595522263
29,NS28 | MARINA SOUTH PIER,1.27102703612006,103.862447515736
30,NE1 | HARBOURFRONT,1.26538938374901,103.821530157095
31,NE3 | OUTRAM PARK,1.27972059383555,103.839439862425
32,NE4 | CHINATOWN,1.28435959278582,103.843426681863
33,NE5 | CLARKE QUAY,1.28838602407587,103.846555209694
34,NE6 | DHOBY GHAUT,1.29970545852797,103.845488184359
35,NE7 | LITTLE INDIA,1.30680019696174,103.849647059738
36,NE8 | FARRER PARK,1.31190557325774,103.853477716509
37,NE9 | BOON KENG,1.31933570922513,103.861569454156
38,NE10 | POTONG PASIR,1.33137949021367,103.869055656782
39,NE11 | WOODLEIGH,1.33919004519388,103.87081830915
40,NE12 | SERANGOON,1.34970788089564,103.873574849884
41,NE13 | KOVAN,1.36017917065237,103.885064856353
42,NE14 | HOUGANG,1.37129226620797,103.892380513029
43,NE15 | BUANGKOK,1.38287001971672,103.893122569706
44,NE16 | SENGKANG,1.3916946260152,103.895484694279
45,NE17 | PUNGGOL,1.40454653668991,103.902072622229
46,EW1 | PASIR RIS,1.37304331635804,103.949284527763
47,EW2 | TAMPINES,1.35330167637375,103.945144586749
48,EW3 | SIMEI,1.34319707851829,103.953377214378
49,EW4 | TANAH MERAH,1.32718729074673,103.946348600798
50,EW5 | BEDOK,1.32397996868158,103.929984495066
51,EW6 | KEMBANGAN,1.3210381335934,103.912947930851
