title,review_counts,address,search_keyword,LATITUDE,LONGITUDE,X,Y,score,keyword_len
National Gallery Singapore,1274,"1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957 Singapore",178957,1.29075150227867,103.85176884833,30053.3569255685,30350.2697735354,0,6
Boat Quay,1249,"1 Bonham Street Uob Building, Singapore 049782 Singapore",Boat Quay,1.28815787426978,103.849373215384,29786.6456805153,30063.8866496595,,6
Peranakan Museum,1237,"39 Armenian Street Peranakan Museum, Singapore 179941 Singapore",179941,1.29428903440528,103.849078460269,29753.9373437259,30741.4298282154,0,6
East Coast Park,1215,"Along East Coast Parkway and East Coast Park Service Road, Singapore 455486 Singapore",455486,1.31484252129222,103.924176555656,38111.6226615105,33014.307056576,,6
The Southern Ridges,1171,"Alexandra Road Mount Faber Park; Telok Blangah Hill Park; or Kent Ridge Park, Singapore 099203 Singapore",099203,1.2712732648272,103.81940927888,26452.0023038434,28196.4637057837,0,6
Jewel Changi Airport,1155,"78 Airport Boulevard, Singapore 819666 Singapore",819666,1.36015720495893,103.990090538078,45446.9122115271,38025.3553665634,0,6
Chinatown Heritage Centre,1099,"48 Pagoda Street, Singapore 059207 Singapore",059207,1.28357839420405,103.844377785424,29230.7983467812,29557.0997421984,0,6
Esplanade - Theatres on the Bay,1084,"1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981 Singapore",038981,1.28986000006992,103.855277979198,30443.8940046066,30251.6951531917,0,6
Fort Canning Park,1068,"River Valley Rd, Singapore 179038 Singapore",179038,1.2920773953077,103.843925316221,29180.4383544009,30496.8752043769,0,6
Sultan Mosque,1064,"3 Muscat Street Masjid Sultan, Singapore 198833 Singapore",198833,1.30215431475589,103.859019441744,30860.2731314423,31611.1411130242,,6
Haji Lane,1039,"21A Haji Lane, Singapore 189214 Singapore",189214,1.30058566688212,103.859132508631,30872.8582261242,31437.6882227696,,6
Sri Mariamman Temple,1030,"244 South Bridge Road Sri Mariamman Temple, Singapore 058793 Singapore",058793,1.28266201963147,103.845088564008,29309.9026023112,29455.7721276637,,6
ION Orchard,1021,"2 Orchard Turn Ion Orchard, Singapore 238801 Singapore",238801,1.30404253406976,103.831888294023,27840.8223430291,31819.9161651842,0,6
Kranji War Memorial,999,"9 Woodlands Road, Singapore 738656 Singapore",738656,1.41901813415723,103.75732541871,19543.0546177709,44533.4708940275,,6
Haw Par Villa,872,"262 Pasir Panjang Road Haw Par Villa 1-min walk from Haw Par Villa MRT Station, Singapore 118628 Singapore",118628,1.28372419675801,103.782403678661,22333.5914602531,29573.2756185923,,6
MacRitchie Reservoir,855,"Off Lornie Road, Singapore Singapore",MacRitchie Reservoir,1.34499125917813,103.824448482236,27012.8555717152,36347.81783868,1.0,20
Science Centre Singapore,768,"15 Science Centre Road Singapore Science Centre, Singapore 609081 Singapore",609081,1.33278381025738,103.735960789953,17165.0876461072,34998.1929920614,0,6
Chijmes,753,"30 Victoria Street Chijmes, Singapore 187996 Singapore",187996,1.29559445902596,103.852159961756,30096.8805306107,30885.7792954259,0,6
Chinese and Japanese Gardens,746,"1 Chinese Garden Road Chinese Garden, Singapore 619795 Singapore",619795,1.33616389017677,103.731017791337,16614.998127264,35371.967813056,0,6
Takashimaya Singapore,710,"391 Orchard Road Ngee Ann City Tower a Takashimaya Department Store, Singapore 238873 Singapore",238873,1.30242417189411,103.834676124723,28151.0824940447,31640.9660037272,,6
Marina Barrage,679,"8 Marina Gardens Drive Marina Barrage, Singapore 018951 Singapore",018951,1.28088410880433,103.869885272808,32069.575635816,29259.2059391476,,6
Lucky Plaza,669,"304 Orchard Road Lucky Plaza, Singapore 238863 Singapore",238863,1.3044637897474,103.834005158524,28076.4099858869,31866.4964128304,0,6
Singapore Visitor Centre @orchardgateway,661,"216 Orchard Road Orchard Gateway @ Emerald, Singapore 238898 Singapore",238898,1.30151466985025,103.839036215781,28636.3212838368,31540.3986301403,,6
Fountain of Wealth,646,"3 Temasek Boulevard Suntec City Mall Suntec City Mall, Singapore 038983 Singapore",038983,1.2948790500243,103.857675494346,30710.7116990434,30806.678278571,0,6
Suntec City,642,"3 Temasek Boulevard Suntec City, Singapore 038983 Singapore",038983,1.2948790500243,103.857675494346,30710.7116990434,30806.678278571,0,6
Henderson Waves,626,"221 Henderson Road Henderson Building, Singapore 159557 Singapore",159557,1.28038577219052,103.820676808675,26593.0735365422,29204.076923253,,6
