,loc_info,LATITUDE,LONGITUDE
0,Gardens by the Bay,1.28175820937716,103.861585715892
1,Singapore Mass Rapid Transit  (SMRT),1.27935389427121,103.846195973221
2,Singapore Zoo,1.40354764653419,103.788541352688
3,Singapore Botanic Gardens,1.32215664251126,103.818185872471
4,Singapore Flyer,1.28971341772819,103.863372152589
5,Sands Skypark Observation Deck,1.28257452719678,103.858562162091
6,Cloud Forest,1.28175820937716,103.861585715892
7,Chinatown,1.28429450300965,103.850619088072
8,National Orchid Garden,1.32215664251126,103.818185872471
9,Orchard Road,1.30409785787898,103.832251902468
10,Marina Bay,1.27962579891799,103.854987203774
11,Night Safari,1.40354764653419,103.788541352688
12,Merlion Park,1.2856262335848,103.853982431458
13,Flower Dome,1.28175820937716,103.861585715892
14,Buddha Tooth Relic Temple and Museum,1.28149438480275,103.844241653043
15,Supertree Grove,1.28175820937716,103.861585715892
16,Jurong Bird Park,1.32076873035235,103.706127003722
17,Waterfront Promenade,1.28986000006992,103.855277979198
18,Singapore Cable Car,1.2712732648272,103.81940927888
19,Little India,1.30971192399962,103.85343473875
20,Clarke Quay,1.29044567334673,103.845688049938
21,Maxwell Food Centre,1.28033024426041,103.844733511515
22,Mustafa Centre,1.31053493112423,103.855002052529
23,River Safari,1.40354764653419,103.788541352688
24,The Helix Bridge,1.28986000006992,103.855277979198
25,National Museum of Singapore,1.29678050415467,103.848412787752
26,Battlebox,1.29539439356249,103.846102463773
27,Arab Street,1.30102793608132,103.859690165744
28,Asian Civilisations Museum,1.28757127097357,103.851418279632
29,The Shoppes at Marina Bay Sands,1.28332249857386,103.857629111139
30,Singapore River,1.29252114167383,103.834651366907
31,The Changi Museum,1.36220359959859,103.973915343225
32,MacRitchie Nature Trail,1.33997472180222,103.832977366621
33,Raffles Hotel Arcade,1.29509740789339,103.85406834457
34,ArtScience Museum at Marina Bay Sands,1.28257452719678,103.858562162091
35,Lau Pa Sat Festival Pavilion,1.28059313261496,103.850360262069
36,VivoCity,1.26389581240004,103.821589247996
37,Marina Bay Sands Casino,1.28257452719678,103.858562162091
38,National Gallery Singapore,1.29075150227867,103.85176884833
39,Boat Quay,1.28815787426978,103.849373215384
40,Peranakan Museum,1.29428903440528,103.849078460269
41,East Coast Park,1.31484252129222,103.924176555656
42,The Southern Ridges,1.2712732648272,103.81940927888
43,Jewel Changi Airport,1.36015720495893,103.990090538078
44,Chinatown Heritage Centre,1.28357839420405,103.844377785424
45,Esplanade - Theatres on the Bay,1.28986000006992,103.855277979198
46,Fort Canning Park,1.2920773953077,103.843925316221
47,Sultan Mosque,1.30215431475589,103.859019441744
48,Haji Lane,1.30058566688212,103.859132508631
49,Sri Mariamman Temple,1.28266201963147,103.845088564008
50,ION Orchard,1.30404253406976,103.831888294023
51,Kranji War Memorial,1.41901813415723,103.75732541871
52,Haw Par Villa,1.28372419675801,103.782403678661
53,MacRitchie Reservoir,1.34499125917813,103.824448482236
54,Science Centre Singapore,1.33278381025738,103.735960789953
55,Chijmes,1.29559445902596,103.852159961756
56,Chinese and Japanese Gardens,1.33616389017677,103.731017791337
57,Takashimaya Singapore,1.30242417189411,103.834676124723
58,Marina Barrage,1.28088410880433,103.869885272808
59,Lucky Plaza,1.3044637897474,103.834005158524
60,Singapore Visitor Centre @orchardgateway,1.30151466985025,103.839036215781
61,Fountain of Wealth,1.2948790500243,103.857675494346
62,Suntec City,1.2948790500243,103.857675494346
63,Henderson Waves,1.28038577219052,103.820676808675
64,F1 - Singapore Grand Prix,1.29157236047167,103.863810712179
65,The Intan,1.31466132185251,103.901012704504
66,National Library of Singapore,1.2973944678668,103.8544187282
67,OCBC Skyway,1.28175820937716,103.861585715892
68,Sri Veeramakaliamman Temple,1.30791906423205,103.852253364956
69,Sungei Buloh Wetland Reserve,1.44614056623457,103.728890512078
70,Raffles City,1.29407041851609,103.852994405912
71,Singapore Art Museum,1.29391653531543,103.850006863472
72,Singapore City Gallery,1.28002547483057,103.845674373929
73,Kampong Glam,1.30244543508785,103.862996070029
74,Esplanade Park,1.28948782949149,103.853662660788
75,Bukit Timah Nature Reserve,1.35190464471836,103.777098375062
76,Wild Wild Wet,1.37918445128044,103.955013328302
77,Resorts World Sentosa Casino,1.25531954546872,103.82046852826
78,St Andrew's Cathedral,1.29230539674524,103.852233762302
79,Mount Faber,1.2712732648272,103.81940927888
80,ION Sky,1.30404253406976,103.831888294023
81,Holland Village,1.31025541884853,103.795350439947
82,City Square Mall,1.31147744952233,103.856780762986
83,Plaza Singapura,1.30082071769235,103.845067272666
84,Emerald Hill,1.30396167975506,103.839590950413
85,Thian Hock Keng Temple,1.28102794943067,103.847477726734
86,Snow City Singapore,1.334526565114,103.735469565154
87,Cavenagh Bridge,1.28650387921229,103.852319215462
88,Statue of Raffles,1.28757127097357,103.851418279632
89,Tekka Centre,1.30617705325622,103.85061131325
90,Marina Square,1.29103980256764,103.857623532359
91,Mint Museum of Toys,1.29628457784358,103.854609889909
92,313@somerset,1.30100656917241,103.838246592796
93,Katong District,1.30917274080057,103.913299706791
94,The Qantas Singapore Lounge,1.36217150661174,103.990052390616
95,The Pinnacle @ Duxton,1.27703474409457,103.841261034891
96,Singapore Philatelic Museum,1.29285579754027,103.848710405744
97,SilverKris Lounge,1.35640628728788,103.986211815854
98,Tiger Brewery Tour,1.33626583028152,103.647219828497
99,Red Dot Design Museum,1.28071923547795,103.85600467736
100,Robertson Quay,1.29100592388417,103.83595714844
101,Bukit Brown Cemetery,1.33676623230772,103.824874312568
102,Funan,1.29124400604241,103.849984790048
103,Labrador Nature Reserve,1.2666121904471,103.80253966305
104,Suntec Singapore Convention & Exhibition Centre,1.29350132535556,103.857307495824
105,Alive Museum,1.2948790500243,103.857675494346
106,Satay Street,1.28059313261496,103.850360262069
107,Kuan Yin Thong Hood Cho Temple,1.30094934166519,103.852967460404
108,Tanah Merah Ferry Terminal,1.31399782767643,103.988628617992
109,Surviving the Japanese Occupation: War and Its Legacies,1.35246141702638,103.768919150692
110,Ngee Ann City,1.30236932766648,103.834980235031
111,Malay Heritage Centre,1.30282121190442,103.859894773198
112,Singapore Cricket Club,1.28889342793241,103.852131733037
113,Bollywood Veggies,1.41837503235253,103.716677231536
114,Marina Bay Cruise Centre,1.26602231000442,103.860527876808
115,National Stadium,1.30508019560987,103.873896103794
116,Orchid Garden & Koi Pond,1.31287139014979,103.81384193554
117,Parkview Square,1.30019557614723,103.857615311375
118,G-MAX Reverse Bungy,1.29028139878755,103.846964686162
119,Great World,1.2931549290701,103.831928020443
120,Changi Beach,1.38272907017716,104.001981729276
